═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/7/26 09:15:49

【口袋名單】共 137 筆

-- 2026-07-26 批次 第0天 (9隻) --
Peigengoo | A73分 | 盾:verified | 首日 | 進0.00005972 | 現0.0002184 | 損益×3.66 | 峰值×4.30 | 曾達2x
$shart | A71分 | 盾:verified | 首日 | 進0.00002860 | 現0.00002860 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零
POINTLESS | A69分 | 盾:verified | 首日 | 進0.00006806 | 現0.00001167 | 損益-82.9% | 峰值+0.0% | 查無報價疑歸零
TOESCOIN | B63分 | 盾:verified | 首日 | 進0.005733 | 現0.005326 | 損益-7.1% | 峰值+34.8% | 追蹤中

-- 2026-07-14 批次 第12天 (6隻) --
HOOD | S94分 | 盾:verified | 首日 | 進0.0001051 | 現0.0001041 | 損益-1.0% | 峰值+0.0% | 查無報價疑歸零
brain | S85分 | 盾:verified | 首日 | 進0.0005549 | 現0.00001970 | 損益-96.4% | 峰值+20.0% | 陣亡(70%)
Diarrhea | S84分 | 盾:verified | 首日 | 進0.0003178 | 現0.00004417 | 損益-86.1% | 峰值+8.5% | 陣亡(70%)
CashDog | S82分 | 盾:verified | 首日 | 進0.0001129 | 現0.00001688 | 損益-85.0% | 峰值+1.6% | 查無報價疑歸零
PEPE | A72分 | 盾:verified | 首日 | 進0.00006284 | 現0.00003439 | 損益-45.3% | 峰值+36.7% | 查無報價疑歸零
ROAST | B63分 | 盾:verified | 首日 | 進0.00003567 | 現0.00003567 | 損益+0.0% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-13 批次 第13天 (8隻) --
SUNNYS | S92分 | 盾:verified | 首日 | 進0.001218 | 現0.000003472 | 損益-99.7% | 峰值+76.6% | 陣亡(70%)
HYPNO | S92分 | 盾:verified | 首日 | 進0.0004455 | 現0.000002577 | 損益-99.4% | 峰值+4.8% | 陣亡(70%)
gaycoin | S87分 | 盾:verified | 首日 | 進0.001788 | 現0.000002746 | 損益-99.8% | 峰值+29.3% | 陣亡(70%)
Bison | S85分 | 盾:verified | 首日 | 進0.0003467 | 現0.000008106 | 損益-97.7% | 峰值+3.9% | 陣亡(70%)
RTM | A74分 | 盾:verified | 蟬聯2天 | 進0.0005153 | 現0.0002799 | 損益-45.7% | 峰值+2.1% | 追蹤中
memecoin | A64分 | 盾:verified | 首日 | 進0.002860 | 現0.001310 | 損益-54.2% | 峰值+13.5% | 追蹤中
PUMPCAT | S94分 | 盾:verified | 首日 | 進0.00009188 | 現0.000007660 | 損益-91.7% | 峰值+55.2% | 查無報價疑歸零
CASHPIGGY | A71分 | 盾:verified | 首日 | 進0.00002477 | 現0.00002394 | 損益-3.4% | 峰值+0.0% | 查無報價疑歸零

-- 2026-07-12 批次 第14天 (7隻) --
BARKITO | S92分 | 盾:verified | 首日 | 進0.0003637 | 現0.000002202 | 損益-99.4% | 峰值+0.0% | 陣亡(70%)
GHOSTI | S80分 | 盾:verified | 蟬聯2天 | 進0.0001854 | 現0.00006442 | 損益-65.3% | 峰值+2.3% | 追蹤中
CATWIF | A76分 | 盾:verified | 蟬聯2天 | 進0.0004572 | 現0.00006968 | 損益-84.8% | 峰值+12.6% | 陣亡(70%)
LCM | A76分 | 盾:verified | 首日 | 進0.0001853 | 現0.000002535 | 損益-98.6% | 峰值+0.6% | 陣亡(70%)
REX | A75分 | 盾:verified | 首日 | 進0.0003903 | 現0.0001027 | 損益-73.7% | 峰值+44.9% | 陣亡(70%)
CASHCAT | A72分 | 盾:verified | 首日 | 進0.0002099 | 現0.00001998 | 損益-90.5% | 峰值+10.3% | 陣亡(70%)
FrogCat | S94分 | 盾:verified | 首日 | 進0.0001087 | 現0.000002001 | 損益-98.2% | 峰值+0.0% | 陣亡(70%)

-- 2026-07-11 批次 第15天 (10隻) --
PROPHECY | S88分 | 盾:verified | 首日 | 進0.0001267 | 現0.000006503 | 損益-94.9% | 峰值+72.3% | 陣亡(70%)
BatCat | S88分 | 盾:verified | 首日 | 進0.0001253 | 現0.0001005 | 損益-19.8% | 峰值×2.70 | 曾達2x
ASTRA | S80分 | 盾:verified | 首日 | 進0.0002610 | 現0.000001975 | 損益-99.2% | 峰值+51.9% | 陣亡(70%)
Silk | S80分 | 盾:verified | 首日 | 進0.0001269 | 現0.000003582 | 損益-97.2% | 峰值×2.23 | 陣亡(70%)
Rizzler | A70分 | 盾:verified | 蟬聯2天 | 進0.0001391 | 現0.000003990 | 損益-97.1% | 峰值+13.7% | 陣亡(70%)
SCAPE | A66分 | 盾:verified | 首日 | 進0.00007138 | 現0.00004941 | 損益-30.8% | 峰值×2.81 | 曾達2x
FKB | S87分 | 盾:verified | 首日 | 進0.00003277 | 現0.000001632 | 損益-95.0% | 峰值+0.0% | 陣亡(70%)
SMOLE | S86分 | 盾:verified | 首日 | 進0.00008333 | 現0.000002642 | 損益-96.8% | 峰值×2.35 | 陣亡(70%)
larry | A77分 | 盾:verified | 首日 | 進0.00007187 | 現0.000001587 | 損益-97.8% | 峰值+0.0% | 查無報價疑歸零
tygary | A71分 | 盾:verified | 首日 | 進0.00003151 | 現0.00006516 | 損益×2.07 | 峰值×2.99 | 曾達2x

-- 2026-07-10 批次 第15天 (10隻) --
ANIF | S95分 | 盾:- | 首日 | 進0.001328 | 現0.000002085 | 損益-99.8% | 峰值+61.8% | 陣亡(70%)
NIGGABULL | S95分 | 盾:- | 首日 | 進0.001270 | 現0.000004049 | 損益-99.7% | 峰值+11.3% | 陣亡(70%)
DARK | S92分 | 盾:- | 首日 | 進0.0007344 | 現0.000005706 | 損益-99.2% | 峰值+57.6% | 陣亡(70%)
tolywifhat | S88分 | 盾:- | 首日 | 進0.001109 | 現0.000005738 | 損益-99.5% | 峰值+22.8% | 陣亡(70%)
CASHCAT | S87分 | 盾:- | 首日 | 進0.0005716 | 現0.00002972 | 損益-94.8% | 峰值×8.35 | 曾達5x達標
HAAL9K | S86分 | 盾:- | 首日 | 進0.001251 | 現0.0002711 | 損益-78.3% | 峰值×5.53 | 曾達5x達標
CAPTOLY | S82分 | 盾:- | 首日 | 進0.0001230 | 現0.000001785 | 損益-98.5% | 峰值+50.1% | 查無報價疑歸零
SPINY | S80分 | 盾:- | 首日 | 進0.0001207 | 現0.000003423 | 損益-97.2% | 峰值×2.83 | 陣亡(70%)
GAYU | A75分 | 盾:- | 首日 | 進0.0002099 | 現0.00004416 | 損益-79.0% | 峰值+56.4% | 陣亡(70%)
LOA | A72分 | 盾:- | 首日 | 進0.0008673 | 現0.0007987 | 損益-7.9% | 峰值+3.4% | 追蹤中

【當前雷達掃描】42 隻（依分數排序，前12）
Cupsey2028 | S95分 | MC 1.02M | LQ 82.2K | 1H +41.9% | 24H +1778% | 換手362% | 買壓70%
Tiana | S92分 | MC 82.2K | LQ 21.6K | 1H +8.0% | 24H +175% | 換手1034% | 買壓58%
dogi | S91分 | MC 112.4K | LQ 24.7K | 1H +10.0% | 24H +25.0% | 換手428% | 買壓76%
LJimothy | S88分 | MC 386.2K | LQ 48.2K | 1H +101% | 24H +1196% | 換手332% | 買壓57% | ★候選
KIM | S85分 | MC 121.7K | LQ 29.7K | 1H -9.5% | 24H -1.3% | 換手90% | 買壓69% | ★候選
Cog | S82分 | MC 178.6K | LQ 32.3K | 1H -51.3% | 24H +491% | 換手764% | 買壓54% | ★候選
HOSICO | S82分 | MC 127.8K | LQ 24.9K | 1H +108% | 24H +108% | 換手100% | 買壓85%
TOMMY | S78分 | MC 28.3K | LQ 11.5K | 1H +8.3% | 24H -0.1% | 換手155% | 買壓60%
$HOWL | A76分 | MC 95.6K | LQ 21.8K | 1H +12.1% | 24H +51.3% | 換手3% | 買壓79%
MEMENOTE | A76分 | MC 89.7K | LQ 27.7K | 1H -9.3% | 24H -86.2% | 換手1659% | 買壓53%
Peigengoo | A75分 | MC 218.4K | LQ 44.8K | 1H -5.0% | 24H -4.9% | 換手171% | 買壓49% | ★候選
Bee | A75分 | MC 57.6K | LQ 17.1K | 1H +86.4% | 24H +86.4% | 換手944% | 買壓56%
