═══ SOL迷因雷達 報告 v2.5 ═══
時間: 2026/8/1 07:57:56

【口袋名單】共 186 筆

-- 2026-08-01 批次 第0天 (9隻) --
CUBEMAN | S89分 | 盾:verified | 首日 | 進0.0008962 | 現0.000005223 | 損益-99.4% | 峰值×8.52 | 曾達5x達標
KET | S84分 | 盾:verified | 首日 | 進0.001173 | 現0.008491 | 損益×7.24 | 峰值×14.81 | 曾達5x達標
HBULL | S83分 | 盾:verified | 蟬聯4天 | 進0.003697 | 現0.001139 | 損益-69.2% | 峰值+4.1% | 追蹤中
Trump Coin | S80分 | 盾:verified | 首日 | 進0.0002330 | 現0.00002967 | 損益-87.3% | 峰值+0.0% | 陣亡(70%)
CASHGOAT | A73分 | 盾:verified | 首日 | 進0.0001784 | 現0.000001840 | 損益-99.0% | 峰值+0.6% | 查無報價疑歸零
LIZARD | A71分 | 盾:verified | 首日 | 進0.0001180 | 現0.00001212 | 損益-89.7% | 峰值+0.0% | 查無報價疑歸零
HOMIE | A67分 | 盾:verified | 首日 | 進0.0005484 | 現0.000004619 | 損益-99.2% | 峰值+88.8% | 查無報價疑歸零
Toly | S84分 | 盾:verified | 首日 | 進0.00009556 | 現0.000005483 | 損益-94.3% | 峰值×2.14 | 查無報價疑歸零
DBULL | S80分 | 盾:verified | 首日 | 進0.00005629 | 現0.00001488 | 損益-73.6% | 峰值×4.27 | 查無報價疑歸零
HORNY | A77分 | 盾:verified | 首日 | 進0.00003272 | 現0.00002600 | 損益-20.5% | 峰值+0.2% | 查無報價疑歸零

-- 2026-07-16 批次 第15天 (8隻) --
BULLSOL | S91分 | 盾:verified | 首日 | 進0.0002218 | 現0.000006813 | 損益-96.9% | 峰值+0.0% | 陣亡(70%)
MAHUTA  | S86分 | 盾:verified | 首日 | 進0.0002712 | 現0.00001786 | 損益-93.4% | 峰值+0.0% | 查無報價疑歸零
BARRON | S84分 | 盾:verified | 首日 | 進0.0003217 | 現0.000009323 | 損益-97.1% | 峰值+0.0% | 陣亡(70%)
BULLDOG | S83分 | 盾:verified | 首日 | 進0.0001138 | 現0.00001740 | 損益-84.7% | 峰值+55.6% | 查無報價疑歸零
